Date : 2026-05-21 17:52:44
Directory : d:\CMS\CMS-15\frontend
Total : 391 files,  321630 codes, 31226 comments, 4597 blanks, all 357453 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |        171 |    266,588 |     27,006 |        951 |    294,545 |
| JSON               |          9 |     25,363 |          0 |          6 |     25,369 |
| TypeScript         |        104 |     11,328 |      1,228 |      1,271 |     13,827 |
| SCSS               |         59 |      9,876 |      1,990 |      1,948 |     13,814 |
| HTML               |         46 |      4,977 |        998 |        416 |      6,391 |
| PostCSS            |          1 |      3,467 |          4 |          4 |      3,475 |
| JSON with Comments |          1 |         31 |          0 |          1 |         32 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                    |        391 |    321,630 |     31,226 |      4,597 |    357,453 |
| . (Files)                                                                                                                                            |          7 |     24,931 |          1 |          7 |     24,939 |
| .angular                                                                                                                                             |        101 |    132,258 |     14,013 |        527 |    146,798 |
| .angular\cache                                                                                                                                       |        101 |    132,258 |     14,013 |        527 |    146,798 |
| .angular\cache\19.2.24                                                                                                                               |        101 |    132,258 |     14,013 |        527 |    146,798 |
| .angular\cache\19.2.24\frontend                                                                                                                      |        101 |    132,258 |     14,013 |        527 |    146,798 |
| .angular\cache\19.2.24\frontend\vite                                                                                                                 |        101 |    132,258 |     14,013 |        527 |    146,798 |
| .angular\cache\19.2.24\frontend\vite\deps                                                                                                            |         99 |    132,247 |     14,013 |        526 |    146,786 |
| .angular\cache\19.2.24\frontend\vite\deps_ssr                                                                                                        |          2 |         11 |          0 |          1 |         12 |
| dist                                                                                                                                                 |         75 |    138,276 |     12,996 |        429 |    151,701 |
| dist\frontend                                                                                                                                        |         75 |    138,276 |     12,996 |        429 |    151,701 |
| dist\frontend (Files)                                                                                                                                |          1 |          3 |          0 |          0 |          3 |
| dist\frontend\browser                                                                                                                                |         74 |    138,273 |     12,996 |        429 |    151,698 |
| src                                                                                                                                                  |        208 |     26,165 |      4,216 |      3,634 |     34,015 |
| src (Files)                                                                                                                                          |          3 |         43 |          0 |          7 |         50 |
| src\app                                                                                                                                              |        198 |     25,754 |      4,212 |      3,566 |     33,532 |
| src\app (Files)                                                                                                                                      |          3 |        217 |          2 |          9 |        228 |
| src\app\core                                                                                                                                         |         29 |      2,336 |        111 |        299 |      2,746 |
| src\app\core\guards                                                                                                                                  |          3 |         89 |          0 |          6 |         95 |
| src\app\core\interceptors                                                                                                                            |          2 |         49 |          0 |          7 |         56 |
| src\app\core\models                                                                                                                                  |          8 |        640 |          5 |         78 |        723 |
| src\app\core\services                                                                                                                                |         15 |      1,546 |        106 |        206 |      1,858 |
| src\app\core\utils                                                                                                                                   |          1 |         12 |          0 |          2 |         14 |
| src\app\features                                                                                                                                     |        143 |     21,251 |      4,080 |      3,092 |     28,423 |
| src\app\features\admin                                                                                                                               |         66 |     12,739 |      3,278 |      1,968 |     17,985 |
| src\app\features\admin (Files)                                                                                                                       |          1 |         53 |          0 |          2 |         55 |
| src\app\features\admin\admin-broadcast-ops                                                                                                           |          3 |        959 |         50 |        124 |      1,133 |
| src\app\features\admin\admin-capture-consent                                                                                                         |          3 |        787 |        308 |        143 |      1,238 |
| src\app\features\admin\admin-dashboard                                                                                                               |          3 |        664 |          0 |         77 |        741 |
| src\app\features\admin\admin-layout                                                                                                                  |          2 |         61 |          0 |          9 |         70 |
| src\app\features\admin\admin-mis-reports                                                                                                             |         42 |      8,099 |      2,659 |      1,309 |     12,067 |
| src\app\features\admin\admin-mis-reports (Files)                                                                                                     |          3 |        237 |         83 |         38 |        358 |
| src\app\features\admin\admin-mis-reports\mis-report-active-consents-tab                                                                              |          3 |        786 |        597 |        204 |      1,587 |
| src\app\features\admin\admin-mis-reports\mis-report-audit-tab                                                                                        |          3 |        437 |         80 |         56 |        573 |
| src\app\features\admin\admin-mis-reports\mis-report-channel-deep-dive-tab                                                                            |          3 |        810 |        323 |        149 |      1,282 |
| src\app\features\admin\admin-mis-reports\mis-report-compliance-tab                                                                                   |          3 |        689 |        188 |         82 |        959 |
| src\app\features\admin\admin-mis-reports\mis-report-consent-inventory-tab                                                                            |          3 |        965 |        604 |        216 |      1,785 |
| src\app\features\admin\admin-mis-reports\mis-report-consent-leaderboard-tab                                                                          |          3 |        759 |         28 |        106 |        893 |
| src\app\features\admin\admin-mis-reports\mis-report-customer-consent-tab                                                                             |          3 |        687 |        221 |        104 |      1,012 |
| src\app\features\admin\admin-mis-reports\mis-report-demographics-tab                                                                                 |          3 |        748 |        348 |        146 |      1,242 |
| src\app\features\admin\admin-mis-reports\mis-report-executive-tab                                                                                    |          3 |        422 |          0 |         50 |        472 |
| src\app\features\admin\admin-mis-reports\mis-report-expiry-tab                                                                                       |          3 |        242 |          0 |         21 |        263 |
| src\app\features\admin\admin-mis-reports\mis-report-operational-tab                                                                                  |          3 |        527 |          0 |         24 |        551 |
| src\app\features\admin\admin-mis-reports\mis-report-revocation-tab                                                                                   |          3 |        515 |        123 |         71 |        709 |
| src\app\features\admin\admin-mis-reports\mis-report-scheduled-tab                                                                                    |          3 |        275 |         64 |         42 |        381 |
| src\app\features\admin\admin-rule-engine-dashboard                                                                                                   |          3 |        928 |         86 |        136 |      1,150 |
| src\app\features\admin\admin-sidebar                                                                                                                 |          2 |        196 |        144 |         48 |        388 |
| src\app\features\admin\admin-topbar                                                                                                                  |          2 |         97 |          0 |         13 |        110 |
| src\app\features\admin\admin-user-management                                                                                                         |          4 |        665 |         31 |         99 |        795 |
| src\app\features\admin\rule-engine-rule-detail-dialog                                                                                                |          1 |        230 |          0 |          8 |        238 |
| src\app\features\auth                                                                                                                                |          3 |        255 |          1 |         29 |        285 |
| src\app\features\auth\login                                                                                                                          |          3 |        255 |          1 |         29 |        285 |
| src\app\features\checker                                                                                                                             |         26 |      2,508 |        269 |        307 |      3,084 |
| src\app\features\checker\checker-broadcast-review                                                                                                    |          3 |        193 |          0 |         17 |        210 |
| src\app\features\checker\checker-broadcasts-queue                                                                                                    |          1 |        106 |          0 |          3 |        109 |
| src\app\features\checker\checker-dashboard                                                                                                           |          3 |        228 |          0 |         27 |        255 |
| src\app\features\checker\checker-layout                                                                                                              |          2 |         87 |          1 |         11 |         99 |
| src\app\features\checker\checker-rule-review                                                                                                         |          3 |        208 |          0 |         17 |        225 |
| src\app\features\checker\checker-rules-queue                                                                                                         |          1 |        106 |          0 |          3 |        109 |
| src\app\features\checker\checker-sidebar                                                                                                             |          2 |        209 |        148 |         51 |        408 |
| src\app\features\checker\checker-topbar                                                                                                              |          2 |        132 |          0 |         14 |        146 |
| src\app\features\checker\consent-review                                                                                                              |          3 |        512 |          9 |         62 |        583 |
| src\app\features\checker\pending-approvals                                                                                                           |          3 |        286 |          1 |         37 |        324 |
| src\app\features\checker\review-history                                                                                                              |          3 |        441 |        110 |         65 |        616 |
| src\app\features\maker                                                                                                                               |         42 |      5,023 |        530 |        694 |      6,247 |
| src\app\features\maker\audit-trail                                                                                                                   |          3 |        129 |          0 |         16 |        145 |
